Id,SalePrice
1461,124066.78
1462,155670.23
1463,181868.19
1464,187528.98
1465,191100.44
1466,172546.66
1467,176175.69
1468,163288.45
1469,193645.58
1470,121764.72
1471,198536.7
1472,93009.78
1473,96122.64
1474,151095.56
1475,128427.95
1476,378825.06
1477,260666.69
1478,283971.88
1479,299262.7
1480,431710.38
1481,339689.53
1482,205564.4
1483,163532.19
1484,166848.73
1485,173264.28
1486,189027.39
1487,350835.62
1488,240314.88
1489,203391.28
1490,209179.69
1491,193141.69
1492,90589.74
1493,176998.36
1494,309170.72
1495,302558.8
1496,228387.25
1497,182865.62
1498,159899.27
1499,158167.23
1500,143759.52
1501,166085.44
1502,144901.97
1503,289884.12
1504,242021.9
1505,227922.28
1506,189765.05
1507,244936.45
1508,200702.55
1509,166083.22
1510,145877.55
1511,143382.56
1512,168344.61
1513,144789.8
1514,167383.61
1515,205710.7
1516,158114.45
1517,162188.55
1518,141391.48
1519,212889.61
1520,132976.4
1521,135288.23
1522,176289.81
1523,111266.64
1524,123150.01
1525,123814.9
1526,120334.4
1527,107561.66
1528,135531.53
1529,147535.05
1530,178615.55
1531,107586.27
1532,100976.75
1533,136271.84
1534,119856.11
1535,150844.33
1536,103991.734
1537,74318.266
1538,152752.92
1539,200022.88
1540,96645.85
1541,138673.77
1542,136947.48
1543,218242.66
1544,79248.125
1545,105951.43
1546,128120.77
1547,131192.0
1548,130093.48
1549,113922.766
1550,142224.42
1551,121620.23
1552,133671.14
1553,149664.73
1554,114151.586
1555,165611.27
1556,81587.805
1557,103342.195
1558,88474.92
1559,69334.63
1560,135435.28
1561,134387.97
1562,128158.91
1563,118902.055
1564,149224.34
1565,144801.81
1566,242450.44
1567,75839.75
1568,217444.27
1569,132578.67
1570,136586.84
1571,127998.65
1572,151900.47
1573,248907.58
1574,115650.39
1575,216967.83
1576,214649.78
1577,193887.47
1578,145265.31
1579,145789.36
1580,198452.66
1581,143531.56
1582,128335.27
1583,319248.44
1584,229158.94
1585,141102.28
1586,70226.71
1587,100823.75
1588,149667.6
1589,99215.086
1590,136783.28
1591,98320.82
1592,111232.16
1593,133622.97
1594,121972.875
1595,112114.73
1596,241284.67
1597,187269.67
1598,206230.47
1599,188355.62
1600,183854.14
1601,65716.25
1602,113291.875
1603,78370.945
1604,255740.98
1605,257499.14
1606,164502.92
1607,182400.58
1608,209824.62
1609,191917.92
1610,141141.17
1611,139511.31
1612,166118.23
1613,156181.92
1614,124577.08
1615,82858.97
1616,73401.37
1617,92254.195
1618,124686.195
1619,141090.03
1620,162301.66
1621,139087.14
1622,139436.16
1623,287869.16
1624,201751.12
1625,126138.4
1626,167640.48
1627,184374.75
1628,274030.66
1629,185283.77
1630,337727.2
1631,221762.38
1632,239474.1
1633,167060.98
1634,182975.17
1635,182279.02
1636,157411.08
1637,195317.78
1638,193608.27
1639,183739.16
1640,266985.7
1641,181939.14
1642,219596.16
1643,235502.5
1644,233159.83
1645,188645.23
1646,157708.6
1647,172560.16
1648,133998.4
1649,135272.38
1650,116347.11
1651,122676.68
1652,95986.055
1653,95394.7
1654,151767.11
1655,153758.33
1656,145295.92
1657,150996.03
1658,142194.86
1659,133532.39
1660,147118.88
1661,424942.3
1662,397986.75
1663,401747.53
1664,388095.03
1665,294716.3
1666,325363.5
1667,373029.8
1668,314949.44
1669,293804.84
1670,364891.06
1671,249943.27
1672,404178.6
1673,300509.9
1674,247190.16
1675,174763.67
1676,174351.48
1677,215235.84
1678,410272.62
1679,371549.97
1680,336502.94
1681,256179.14
1682,313262.62
1683,170658.44
1684,178662.06
1685,173382.31
1686,172063.88
1687,163726.16
1688,189164.62
1689,197917.02
1690,201067.33
1691,182509.84
1692,280135.06
1693,159634.6
1694,181217.73
1695,168678.23
1696,294737.7
1697,172678.03
1698,367299.03
1699,307133.56
1700,241534.92
1701,277548.44
1702,240034.06
1703,247242.97
1704,283310.75
1705,236752.53
1706,342153.66
1707,221334.73
1708,200108.16
1709,291713.66
1710,220680.92
1711,253629.33
1712,283588.9
1713,266985.7
1714,222199.33
1715,205514.03
1716,186922.62
1717,179059.84
1718,137997.64
1719,202702.11
1720,246364.8
1721,175729.0
1722,127610.57
1723,156417.14
1724,215344.25
1725,232141.64
1726,178743.86
1727,153227.25
1728,192485.97
1729,156937.56
1730,162441.17
1731,122655.85
1732,130659.09
1733,117411.16
1734,125697.445
1735,134229.14
1736,116974.94
1737,331666.53
1738,211583.28
1739,248835.42
1740,196890.06
1741,185970.1
1742,165841.86
1743,176497.56
1744,295810.84
1745,208445.66
1746,199930.77
1747,221126.92
1748,216960.38
1749,147071.47
1750,132777.2
1751,234492.66
1752,121225.93
1753,150642.2
1754,212960.06
1755,159658.05
1756,127858.34
1757,120621.64
1758,144534.56
1759,163898.62
1760,161077.31
1761,140030.9
1762,173867.8
1763,179745.92
1764,119561.11
1765,170005.1
1766,181847.72
1767,214263.84
1768,141917.12
1769,183730.22
1770,144512.92
1771,129456.59
1772,130613.24
1773,132152.12
1774,147459.8
1775,141413.47
1776,126891.53
1777,112592.19
1778,137630.94
1779,112713.16
1780,187672.48
1781,134187.55
1782,98856.46
1783,130647.375
1784,99878.98
1785,115193.8
1786,152699.47
1787,158692.89
1788,53478.54
1789,100687.016
1790,82394.05
1791,175140.08
1792,151484.4
1793,131999.22
1794,147251.39
1795,134760.92
1796,115579.164
1797,114914.984
1798,125595.95
1799,109614.95
1800,131405.38
1801,123063.72
1802,145332.23
1803,153585.1
1804,142358.22
1805,142206.11
1806,111661.234
1807,127174.53
1808,123799.31
1809,116841.7
1810,149819.81
1811,93034.35
1812,94249.6
1813,119866.055
1814,97487.59
1815,53622.406
1816,97030.69
1817,107517.76
1818,133521.7
1819,129012.03
1820,63147.574
1821,113666.98
1822,146614.78
1823,40838.145
1824,130327.19
1825,132948.27
1826,99240.164
1827,104296.85
1828,135412.03
1829,111558.195
1830,138993.66
1831,158665.95
1832,92362.74
1833,140343.48
1834,121950.66
1835,133215.8
1836,129614.72
1837,84266.14
1838,119135.42
1839,84899.766
1840,149511.94
1841,140761.42
1842,79028.195
1843,131807.25
1844,134763.75
1845,143843.72
1846,151067.77
1847,160085.11
1848,54532.24
1849,112728.1
1850,124698.32
1851,155473.05
1852,129662.56
1853,131111.45
1854,176471.81
1855,140453.4
1856,224408.55
1857,167126.8
1858,144601.02
1859,130644.016
1860,150085.95
1861,129348.61
1862,307423.7
1863,295282.94
1864,295282.94
1865,325804.72
1866,336029.6
1867,247099.19
1868,305527.97
1869,201852.73
1870,238483.38
1871,259080.53
1872,166996.8
1873,231328.36
1874,144875.84
1875,204498.36
1876,184833.19
1877,210288.98
1878,211823.55
1879,129231.1
1880,140731.77
1881,234112.34
1882,262724.9
1883,190680.45
1884,199895.88
1885,259527.14
1886,319123.3
1887,205942.14
1888,283165.97
1889,154006.78
1890,120833.61
1891,138139.19
1892,105737.53
1893,126034.99
1894,129538.35
1895,145287.33
1896,128338.695
1897,110914.586
1898,110507.45
1899,153377.84
1900,150588.34
1901,164937.75
1902,143343.61
1903,211082.84
1904,145679.42
1905,197787.0
1906,163314.45
1907,207185.38
1908,112578.23
1909,136954.67
1910,121559.695
1911,207913.78
1912,318097.22
1913,151524.28
1914,56358.848
1915,295572.0
1916,68123.24
1917,286202.9
1918,144263.14
1919,163188.97
